# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403e0230	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0240	0x1403e0250	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403e02c0	0x1403e02d0	+0x10	nearest-anchor delta +0x10, 17 shape candidates
0x1403e02d0	0x1403e02e0	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403e0350	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0360	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0370	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0380	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0390	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e03a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e03b0	0x1403e03c0	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403e03c0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e03e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e03f0	0x1403e0400	+0x10	unique, 40B signature, 22B fixed
0x1403e0440	0x1403e0450	+0x10	nearest-anchor delta +0x10, 74 shape candidates
0x1403e08f0	0x1403e0900	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403e0900	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403e0ad0	0x1403e0ae0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403e0c40	0x1403e0c50	+0x10	nearest-anchor delta +0x10, 106 shape candidates
