thunk_va	size	arxan_target	kind	resolved_va	hops	refs
1401944f0	42	145405596	stub-return	14019459a	0	
1401945b0	123	145676403	stub-return	1401945bf	0	call:141ec7220,disp:141dd5d30,disp:140194625
14019d160	122	1451dda84	reloc-body	1451dda84	0	disp:1414c824a,disp:14019d199
14019d1e0	37	1453de4ae	stub-return	14019d1f7	0	call:14019d7d0
14019d2a0	113	1450a503a	stub-return	14019d2d6	0	disp:14019d2e7,disp:14019d2ef
14019d320	190	14598490d	reloc-body	14598490d	0	disp:1452439d9,disp:14019d36b
14019d3f0	31	1458e2476	stub-return	140e23263	0	call:142662410,call:1426622f0
14019d410	31	145c7d8dd	chain-deep	145c7d8dd	0	
14019d440	117	1452ba5ed	stub-return	14019d4a8	0	
14019d4d0	31	1455cd030	stub-return	14052c677	0	
14019d520	139	1458c2fcd	stub-return	14019d53e	1	call:14019da50,disp:1406dcaa4,disp:14019d59e
14019d5c0	31	145b247a1	stub-return	1407ccc61	0	call:1407b0e40,call:140742c90,disp:1407ccc8f,disp:1407ccca5
14019d5e0	31	1452e0551	stub-return	14207410f	0	call:141eb9ed0,disp:140418d25,disp:14207412c
14019d610	128	144dc58d0	stub-return	14019d683	0	
14019d6a0	42	145ae337d	stub-return	142049f47	0	call:141eb97a0,call:1424fab30
14019d6d0	42	145c3fbe8	stub-return	1407784e4	0	
14019d710	43	144e91ee2	stub-return	14019d732	0	
14019d740	43	145ac76d4	stub-return	14019d762	0	
14019d770	43	145ba6865	stub-return	14018d8d6	0	call:1424faa14
14019d7a0	43	144dd9ef1	stub-return	1404d6c06	0	call:1424faa14
14019d7d0	139	1459006a5	chain-deep	1459006a5	0	
14019d860	43	145404410	stub-return	14019d890	1	call:14019dd50,disp:1453f4705,disp:14019d8a7
14019d88b	82	145747c89	reloc-body	145747c89	0	disp:1453c5737,disp:145361c97
14019d8dd	11	145c7259e	stub-return	14152bce6	1	disp:1405526d1,disp:14152bdaa
14019d8f0	123	14562eba1	stub-return	14019d8ff	0	call:141ec7220,disp:145124a5e,disp:14019d959
14019d970	58	1457fac96	stub-return	14019d98f	0	disp:14554bc10,disp:14019d9a0
14019da21	27	145b2a67f	stub-return	14019da3c	0	
14019da3c	6	145211845	stub-return	1426d38f0	0	disp:1404cbaca,disp:1426d3903
14019da50	58	144e96969	reloc-body	144e96969	1	disp:1458a4bc2,disp:14019da6f
14019db01	27	1459411bb	stub-return	14019db1c	0	
14019db1c	6	1458dcee8	stub-return	142946bd4	0	call:1401122d0
14019db30	133	14534495b	stub-return	140d04b65	0	
14019dc16	33	145770cd3	reloc-body	145770cd3	0	
14019dc37	13	145881692	chain-deep	145881692	0	
14019dc50	244	144c394ae	chain-deep	144dc97a8	1	disp:144dc97a8,disp:14019dc74
14019dd50	31	1453d91cd	stub-return	142043fdc	0	
14019dda1	15	1452946f2	stub-return	140543635	0	call:140547040
14019ddb0	80	144cf9aa1	stub-return	140e1d514	0	call:141ec1310,disp:140d0e605,disp:14019ddee
14019de00	52	1457d573a	stub-return	14019de0f	0	call:141ec0f60,call:1424faa14
14019de50	122	144c99a82	stub-return	14019de89	0	disp:1404745b8,disp:14019dea5
14019ded0	87	144ed85ea	stub-return	140f2a1c0	0	disp:14029a318,disp:14019df1e
14019e9b0	119	1454e81f6	stub-return	140d427b0	0	call:14011d9b0,disp:1404876f9,disp:140d427b0
14019ea30	250	144eab8b1	stub-return	14019ea98	0	disp:1406f73d8,disp:14019eacc
14019eb30	996	1453fb90c	stub-return	1404ac681	2	
14019efe0	185	144d9492a	stub-return	1404cef68	0	call:14019efe0,disp:141f664ff,disp:14019f034
14019f0a0	452	1456f4dcb	stub-return	140686648	0	disp:14019f0e0,disp:14019f12c
14019f270	137	144d910f3	stub-return	140d65828	0	
14019f300	144	1453dbfc9	stub-return	14019f36d	0	
14019f470	52	1458b9479	stub-return	14019f47f	0	call:1426e73b0,disp:1402aa184,disp:14019f496
14019f4b0	250	1457a160a	stub-return	140a679a9	0	call:141eb97a0,disp:140192c94,disp:140a67a11
14019f5b0	966	1450e6496	stub-return	14019f640	0	disp:144d9852a,disp:14019f64f
14019fa40	155	145651560	stub-return	142684420	0	call:14015c7e0,disp:144c51e74,disp:142684468
